itching,skin rash,nodal skin eruptions,continuous sneezing,shivering,chills,joint pain,stomach pain,acidity,ulcers on tongue,muscle wasting,vomiting,burning micturition,spotting  urination,fatigue,weight gain,anxiety,cold hands and feets,mood swings,weight loss,restlessness,lethargy,patches in throat,irregular sugar level,cough,high fever,sunken eyes,breathlessness,sweating,dehydration,indigestion,headache,yellowish skin,dark urine,nausea,loss of appetite,pain behind the eyes,back pain,constipation,abdominal pain,diarrhoea,mild fever,yellow urine,yellowing of eyes,acute liver failure,fluid overload,swelling of stomach,swelled lymph nodes,malaise,blurred and distorted vision,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,weakness in limbs,fast heart rate,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,neck pain,dizziness,cramps,bruising,obesity,swollen legs,swollen blood vessels,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,excessive hunger,extra marital contacts,drying and tingling lips,slurred speech,knee pain,hip joint pain,muscle weakness,stiff neck,swelling joints,movement stiffness,spinning movements,loss of balance,unsteadiness,weakness of one body side,loss of smell,bladder discomfort,foul smell of urine,continuous feel of urine,passage of gases,internal itching,depression,irritability,muscle pain,altered sensorium,red spots over body,belly pain,abnormal menstruation,watering from eyes,increased appetite,polyuria,family history,mucoid sputum,rusty sputum,lack of concentration,visual disturbances,receiving blood transfusion,receiving unsterile injections,coma,stomach bleeding,distention of abdomen,history of alcohol consumption,blood in sputum,prominent veins on calf,palpitations,painful walking,pus filled pimples,blackheads,scurring,skin peeling,silver like dusting,small dents in nails,inflammatory nails,blister,red sore around nose,yellow crust ooze
-0.005526875,-0.018616837,-0.0037445116,3.286684e-05,-0.005339674,-0.022045797,0.0005143825,-0.005446625,-0.025428545,-0.022197047,-0.0042434465,-0.036086753,-0.020423703,0.006865351,-0.007409476,-0.02117762,-0.0034509876,-0.009515076,0.0026574372,0.008867141,-0.019909296,-0.024694929,-0.010680132,-0.01017163,-0.019162802,-0.031303607,0.012227919,-8.440705e-05,-0.0066134427,-0.029514782,-0.025026796,-0.029485932,0.0029066734,0.0017732696,-0.02892425,0.0128470175,0.0076752566,0.015304857,-0.014098793,-0.0001163003,-0.032338277,-0.028993996,-0.011798825,0.010174863,-0.013518914,-0.023434607,-0.010750332,-0.033838928,-0.012406309,0.010369629,-0.0130584715,-0.019632949,0.012621478,-0.020233333,-0.0031918613,-0.024589632,-0.0024453215,-0.0015626164,-0.020808114,-0.014477847,-0.01405427,-0.050332006,-0.015269674,-0.009617759,-0.02759353,0.00344101,-0.018124726,-0.012767951,-0.018999804,-0.022566974,0.0038507439,0.0087259235,-0.007957469,-0.014217293,-0.0022305136,-0.0020959983,0.009678885,-0.02119373,-0.0043775374,-0.006149258,-0.0020747962,-0.019324858,-0.01972896,-0.002878779,-0.0072651193,0.013174762,-0.021862693,0.012593898,0.014444403,0.0011796905,-0.0043357797,0.0014879319,-0.015984448,-0.015740579,0.01265627,-0.014689916,0.0028608276,-0.0061658714,-0.0032028714,0.013293996,0.0058677224,0.015779523,0.0016848352,-0.0071771005,-0.013455866,-0.02614741,-0.013534739,-0.0020674977,0.008388095,-0.0052158185,0.0030435703,-0.0295043,-0.01918941,-0.005313421,-0.00975714,-0.0116188405,-0.02046575,-0.023703577,-0.0066216458,-0.01878632,-0.010726878,0.0006056302,0.00088259263,-3.3150427e-06,0.0031750205,-0.0023626005,-0.023982313,-0.0073152203,-0.03152592
-0.036147475,0.001862892,-0.008312877,-0.0154290255,-0.021385312,-0.023259813,0.019575085,0.014899924,0.0024368453,-0.05447045,-0.010132455,-0.008250409,-0.0018000379,-0.02394802,0.013040902,-0.055511564,0.020850211,-0.026903836,-0.014305201,-0.004083706,-0.007418404,0.014884207,-0.079553716,0.015367612,-0.008268081,0.018511083,-0.029583756,0.005944612,0.0014892649,0.010108865,-0.004314651,0.013872532,-0.001796185,0.029898696,0.023802197,-0.014977985,-0.018054767,-0.019130412,0.007583685,0.022220643,0.006645916,0.022521183,0.022364976,-0.019885408,-0.022058891,0.031046346,-0.012579229,-0.0008687663,0.009426964,0.0016094253,0.021079494,0.0012620618,-0.021933675,0.007950211,-0.017690416,0.014575022,0.025316019,-0.07919813,0.0015572496,-0.02056892,-0.047689226,0.0018379694,-0.07133857,0.006782039,0.013644949,-0.0018810307,0.016006907,0.021908041,-0.0090094,0.0058781696,-0.029333273,0.011687271,0.0028228173,-0.0024853358,-0.0141236335,-0.021231271,-0.0150372675,0.008177005,0.007753795,0.015974263,0.009636831,-0.026382271,0.015443414,-0.00016289437,-0.033993445,-0.015964508,-0.0010153335,-0.031310868,-0.012985032,0.01483293,0.0013532611,0.0031539737,-0.020302126,-0.024792982,0.0038719985,0.0059058587,0.02378051,0.03423217,-0.03040573,0.017801434,0.0072651333,-0.043087512,-0.0048686936,0.022923937,-0.011956488,0.038695615,0.01933118,-0.037901137,-0.0008764918,-0.017326152,-0.0187715,0.016677212,-0.0077387025,-0.011804219,-0.0071240263,-0.058889538,-0.033351786,-0.014108886,-0.0180866,0.01909035,0.011553484,-0.07520836,-0.023012262,-0.011332422,-0.05330089,-0.0052005127,-0.036807608,-0.015359279,0.010934739
0.08095948,0.117452055,0.06889528,0.046673447,0.0584234,0.115677774,0.09343064,0.11382558,0.089650564,0.07680058,0.096254125,0.06674607,0.05707975,0.036049932,0.08888423,0.15369424,0.08627556,0.081101015,0.09272776,0.111965954,0.040244784,0.071488276,0.06719106,0.073012054,0.091953635,0.12141478,0.057652436,0.04185451,0.07236308,0.049841996,0.05719669,0.05364173,0.08435325,0.07326701,0.097777404,0.12498925,0.086865045,0.112812705,0.05145314,0.09173116,0.057577536,0.09122145,0.05638157,0.10132652,0.09092941,0.07102591,0.11167679,0.06389708,0.07057003,0.056963656,0.09357097,0.064320326,0.115853734,0.08866788,0.08461539,0.061427128,0.122450784,0.07408505,0.08047772,0.10084762,0.095487505,0.058478624,0.0803127,0.1354441,0.074596085,0.1079897,0.088022724,0.07740949,0.085497186,0.0691914,0.097322255,0.04836153,0.05702038,0.06129176,0.0857784,0.066684276,0.08103144,0.0144947395,0.123649016,0.09903953,0.067856826,0.089729115,0.06640538,0.060103983,0.03610389,0.12971404,0.047076408,0.08200903,0.15083952,0.06687143,0.12352142,0.11808254,0.09470993,0.057319485,0.05022005,0.047493234,0.1218977,0.03517809,0.083702,0.11223919,0.05255527,0.05776708,0.06888697,0.04892709,0.04692641,0.06518598,0.030136047,0.13767944,0.05059427,0.0641176,0.03653108,0.09807861,0.071773306,0.1081179,0.09099811,0.07960033,0.06437011,0.04416846,0.04015755,0.098214366,0.057243545,0.010306115,0.09579959,0.050087098,0.069147676,0.053230636,0.043236844,0.079359874,0.09670285
-0.040058415,0.019338002,0.012396161,0.000105405226,-0.026717655,0.081577845,-0.029351054,-0.021526463,0.019519215,0.024001176,0.023394901,0.012375733,-0.03487849,-0.026928738,0.044608418,0.014835825,-0.016514245,-0.0020200852,0.052277993,-0.004155334,-0.0003973913,0.005774354,0.0072350125,0.004740165,0.0076584565,0.058946222,-0.01710587,0.0068839574,0.009719325,0.03263944,-0.0037205957,0.003291729,0.013490273,0.022767998,0.011479318,0.009002539,-0.015037706,-0.017464308,0.0025140855,-0.022283996,0.008186255,0.06350444,-0.00474006,0.0021639485,0.008024691,-0.013900241,-0.0032441039,-0.019607833,0.021537606,-0.002319807,0.034125384,-0.014556784,-0.0023966238,0.02316905,-0.060395237,-0.016529579,-0.0072218357,0.015174328,-0.005761173,-0.020186301,-0.003327822,-0.029404465,-0.026688045,-0.014606317,0.009980004,-0.017758999,-0.0097029265,0.053386744,-0.031759843,0.00069206767,-0.010655147,-0.0012374269,0.05982722,-0.029934986,0.01814118,0.030611828,-0.015518861,-0.030045297,-0.05439218,-0.051082835,0.015124092,-0.011535694,-0.039782807,-0.025024965,-0.015349213,0.02034679,-0.018383184,0.020876896,-0.01059012,-0.020118874,-0.006334911,0.007936424,0.03310813,-0.02074066,0.036815643,0.008466064,-0.011428233,0.0037666964,0.011692002,-0.019815134,-0.010636011,-0.003885032,-0.0012228703,0.008555967,0.0022341106,-0.020432651,-0.0025938083,0.0006074579,0.0026380634,0.016910871,-0.0058432785,0.0486437,-0.017950414,0.0033227608,0.031938937,0.0090058455,0.015810668,0.00014564332,-0.0091139395,-0.05210264,-0.044871457,-0.010190122,0.017415043,0.012417215,-0.0034236982,0.05490109,-0.02446739,-0.0071491404,-0.027413586
-0.023402218,0.027383037,0.0012151351,-0.01867932,0.01813068,-0.021141969,-0.020978924,0.0013059436,-0.044067774,0.0487752,-0.013874341,-0.015891813,-0.009945344,-0.014785444,-0.013198056,-0.03830479,0.0207995,-0.0004909709,0.020765372,-0.010956701,-0.004886585,0.004698282,0.010586885,-0.044786107,-0.0912922,-0.040338747,-0.01809638,-0.01642914,-0.035368875,-0.020008631,0.010897087,-0.045475367,0.0057589295,-0.017588539,-0.039504286,-0.002461367,0.006093976,-0.025852658,0.007463033,0.0055890707,-0.015610282,-0.016397048,-0.009527083,-0.0015337057,0.008936946,0.012308735,0.0066643995,0.02671106,-0.009606168,-0.015806956,-0.046544734,0.0014306456,-0.012617331,-0.06451401,-0.028057585,-0.009442344,-0.0075093694,0.01781807,-0.013184282,0.03808339,0.02092536,-0.03984235,0.02107036,-0.01668249,-0.036449984,-0.009377857,0.015360176,-0.058660977,-0.018299365,-0.013107405,-0.009348866,-0.002472117,0.025232943,0.015748035,0.0021948682,-0.025319995,0.02446914,0.037761696,0.00559243,-0.0232325,-0.0062998733,-0.037191216,-0.014475681,-0.0014486834,0.019034432,0.007958929,0.0004261569,0.024669264,-0.008781939,0.022827096,0.0005847346,-0.0049880026,5.1844865e-05,-0.007422379,-0.009083489,-0.0038144635,-0.0012954785,0.0034416765,0.017588235,0.012660664,-0.011760728,-0.0048503773,-0.018598268,-0.013789095,-0.028133366,-0.08981344,-0.063130096,0.018043991,0.016068142,-0.019451903,0.0090170195,0.019050702,-0.0016885593,0.016594343,-7.4436655e-05,-0.050982296,0.023382239,-0.0007537629,0.007945219,-0.0043300497,0.025492385,0.0016371091,0.017410845,-0.019328931,0.03131121,0.03232193,0.018379623,0.0048368396,-0.012724123
-0.048750225,-0.06066255,-0.030356765,-0.024272604,-0.036460847,-0.068556815,-0.02672707,-0.03199631,-0.003439599,-0.04537795,-0.042522915,-0.0375898,-0.019034581,-0.007126186,-0.026346575,-0.035548784,-0.032263786,-0.049840428,-0.061581448,-0.026027799,-0.02290189,-0.016004914,-0.013792407,-0.025353475,-0.019333137,-0.040059954,-0.032519415,-0.009045324,-0.03940926,-0.018471159,-0.012589178,-0.020332891,-0.039102003,-0.039386354,-0.025439663,-0.029350037,-0.023990855,-0.0408063,-0.015395339,-0.027356489,-0.023546198,-0.04864154,-0.029792594,-0.03580289,-0.02487412,-0.045906603,-0.030553596,-0.03516442,-0.024478247,-0.037129886,-0.050571814,-0.021858752,-0.038945183,-0.021399278,-0.038327347,-0.016428351,-0.034864668,-0.023139527,-0.02047308,-0.009479825,-0.017468449,-0.035897214,-0.0013903454,-0.032397788,-0.019256437,-0.06326746,-0.023760222,-0.015379137,-0.054433934,-0.04631025,-0.048415992,-0.014266215,-0.043732084,-0.04128242,-0.027090319,-0.032031305,-0.04810176,-0.036865816,-0.025551816,-0.023172768,-0.0369033,-0.040521268,-0.034957886,-0.026680069,-0.030448725,-0.029373618,-0.03224539,-0.026672041,-0.028520994,-0.022954905,-0.040198833,-0.044276677,-0.029016048,-0.027934812,-0.0104760695,-0.020153426,-0.040917236,-0.033613965,-0.027107053,-0.036853097,-0.011304768,-0.025303349,-0.018305954,-0.0107404785,-0.029929405,-0.054477017,-0.037055407,-0.0250601,-0.022420367,-0.029826969,-0.02851536,-0.076469585,-0.027285922,-0.02642118,-0.022631368,-0.016647166,-0.041923136,-0.016196055,-0.028066993,-0.054809142,-0.02847768,-0.08344683,-0.03334558,-0.030428404,-0.03170614,-0.03512085,-0.029412026,-0.033645365,-0.03875883
0.041458875,0.030821547,0.014258389,0.0012480551,0.02432817,0.046360668,0.017850883,0.029088395,0.02725175,0.05384865,0.037921418,0.013042213,0.034082152,0.035850562,0.024164775,0.06861597,0.03581477,0.024431216,0.062689535,0.05431392,0.021702714,0.018475702,-0.010188624,0.0055495626,0.052980326,-0.005434636,0.044492863,0.012298197,0.029630955,0.010397085,0.02504875,0.018174365,0.014464311,-0.014329252,0.022976646,0.12785771,0.067096755,0.043414235,0.02752181,0.005980965,0.01178039,0.009055397,0.026656589,0.13472712,0.019195883,0.015891083,0.11519608,0.043421328,0.014251928,0.034687597,0.0337701,0.018663911,0.12728564,0.03650263,0.0022642557,0.018303394,0.020898009,-0.0056294077,0.035928696,0.017389346,-0.014619827,0.017845703,-0.022300856,0.016482564,0.020664375,0.047040183,0.024309121,0.034363437,0.03021353,0.025425263,0.062453102,0.011860689,0.012390997,0.0056608035,0.0069224313,0.026963988,0.03425835,0.021059355,0.019929845,0.012252842,0.024769919,0.0072034737,0.024382856,0.028230771,0.028890297,0.13193247,0.010624147,0.09629165,0.15782775,0.024622135,0.11261568,0.091769956,0.13536046,0.022521822,0.017177355,0.00818339,0.022056133,0.018321201,0.06783325,0.022964083,0.0020226697,0.06819606,0.03970871,0.011586648,0.04111652,0.008025081,0.004150706,0.12524737,0.0037165203,0.04369249,0.029645784,0.0003093928,0.029957373,0.10490159,0.08973825,-0.012509689,0.05427669,0.01728216,-0.0052028545,0.053994197,0.03994525,0.014446747,0.038525805,0.06710548,3.406778e-06,0.025777202,0.028578857,0.032023028,0.04834798
-0.013516982,-0.045120683,-0.019913586,-0.013112869,0.00017611227,0.004997364,-0.033379942,-0.037069347,0.02843557,-0.014964528,0.0054773637,-0.013458967,0.007370268,-0.00950509,-0.0051123016,0.0066669816,-0.0021953527,-0.0016366984,0.0027282797,0.0076954504,-0.014668521,0.016406443,-0.0041635954,0.0143280355,-0.015693033,-0.020757675,0.014001685,-0.011215526,-0.0005785659,-0.007685102,-0.0023985123,0.0019608873,-0.01222437,0.025219135,-0.019414343,0.01148289,-0.021311173,-0.026487336,-0.038580675,-0.050371207,-0.05657132,-0.03428347,0.0018716108,0.0060054567,-0.004232572,0.016429188,-0.006141562,-0.014692455,0.021018887,0.0078744525,0.018469403,-0.017513486,-0.01430413,-0.017388543,-0.029550651,-0.009451501,-0.04167039,0.005127408,0.004686419,-0.0443535,-0.016530909,-0.021593478,-0.029800473,-0.018461462,-0.014417415,-0.019058859,-0.005171719,-0.005515536,0.0020554357,0.009546425,-0.008194238,-0.0001266225,-0.0073493943,0.0014290303,-0.011021493,-0.0155946985,-0.0018672511,0.02719475,-0.025687655,-0.047687948,-0.002184475,0.015177479,-0.006694561,-0.017275227,-0.013336116,0.0050930586,0.017372424,0.0010721579,0.020200478,-0.022279862,0.02060529,0.004378614,-0.0007193391,-0.008911003,0.014036131,-0.03336571,-0.023748968,0.008292757,-0.004140089,-0.031278625,-0.01865372,-0.010918204,-0.0037253955,0.00010833633,-0.008969961,0.0018067467,0.0143103,0.0027308464,0.016733801,-0.002902722,-0.004289171,0.11619729,-0.015677797,-0.02182223,0.01084158,0.0027090379,-0.023702173,-0.0078726625,-0.010282859,0.008980854,-0.019536635,0.0053391885,-0.033012554,0.029697478,0.008284349,-0.017319173,-0.011112724,-0.008924844,0.044415947
0.012878354,-0.002925701,0.010696637,0.024706427,0.038178913,0.05326416,0.017984403,0.010576705,0.03598197,-0.037542496,0.03219634,0.030515833,0.020167809,0.040569697,0.023291437,0.06795868,0.0466075,0.0025591524,-0.019718915,0.06877048,0.03669734,0.060473766,-0.014208819,0.018745987,0.018318586,0.02110773,-0.0016213069,0.032307714,0.02110534,0.0211098,0.028520076,0.032610446,0.0066583627,0.0085608605,0.042339247,0.051737513,-0.0077507985,-0.009388911,0.023273638,0.020256687,0.020210955,0.042216606,0.026886756,0.008169362,0.01636053,0.0036091194,0.007023402,0.004286885,0.023106452,0.018094208,0.033063862,0.017816339,0.020074926,0.01591246,-0.018412136,0.017528694,0.020523563,-0.00056646514,0.009602564,0.004682169,-0.0024979718,0.0037211794,-0.009050933,0.004604025,0.039584145,0.0024716663,0.03260936,0.009854143,-0.007157976,0.0149762705,0.0181624,-0.022874847,-0.010200776,0.00022495879,0.0280343,0.040445328,0.017526558,0.010839605,0.0069113653,0.013754521,0.03046646,-0.014305732,0.017135566,0.031456754,0.018130843,0.045025587,0.046322722,0.0041787736,0.05022,0.021000288,0.024025809,0.0120728,0.011092949,0.023020262,0.019119889,0.048895836,0.027498834,-0.0029980075,0.011662116,0.021901868,0.0025149025,-0.010215986,0.04517787,0.044284657,0.019094981,0.005355999,0.016710639,0.05757266,0.02928262,0.02396298,0.021813838,-0.00034759194,0.0022006482,0.011038932,0.014154969,2.6579946e-06,-0.017936781,0.029712623,-0.0009929971,0.02318225,0.0042602383,0.015383493,0.013825383,0.02276502,-0.0039799623,-0.009193638,-0.016327254,-0.013700677,0.016828446
0.037067298,-0.06123601,-0.05660439,-0.008794593,-0.043430887,-0.00068612024,-0.0007091351,-0.011444444,-0.062395494,0.011674176,0.0004404392,-0.02272171,-0.018505396,-0.024305966,0.027012961,-0.023489203,0.00902432,-0.001149781,-0.015752815,-0.028157381,0.0012549767,0.02509162,-0.048193615,-0.06198812,-0.013031721,-0.055629347,-0.07614806,0.013399179,-0.00680232,-0.032293502,0.013805535,0.023063868,-0.06911565,-0.059336543,0.023945302,-0.018115588,-0.012891323,0.026651932,-0.020664906,-0.010884805,-0.0063767233,-0.05569575,-0.069473386,-0.044642806,-0.038934294,-0.013680059,-0.03076906,-0.05474125,0.017463034,0.016148748,-0.011066298,-0.03841601,-0.04288948,-0.016903024,-0.05247208,0.004151841,-0.014920786,-0.029558873,-0.038603652,-0.0068097063,-0.021085294,-0.057662033,-0.02731529,0.0056130495,-0.0017662714,0.0026463594,-0.046311565,-0.035912506,-0.053455736,-0.049074862,-0.030339886,-0.07121761,-0.021116184,-0.04263118,0.00041194074,-0.0044977977,0.006592285,0.024391502,-0.03910708,-0.031253416,-0.035080165,-0.035791457,-0.015228909,0.009957712,0.013102344,-0.028589562,0.032466203,-0.05761504,-0.03365305,-0.033661902,-0.04093656,-0.0066002477,-0.032441925,0.0073517356,-0.0063703796,-0.01974347,-0.0071298797,-0.012885829,-0.06852646,-0.007880686,-0.0032534236,-0.039205544,-0.0057015195,-0.005278876,-0.012590842,-0.0740434,-0.02941981,-0.024336556,0.016967606,-0.03430445,-0.0111866845,-0.026500972,-0.030693674,-0.021517888,-0.026178908,-0.038934942,0.019627698,-0.0069935825,-0.004292518,-0.07865752,-0.0362578,-0.017393451,-0.09280177,-0.032876622,-0.059732754,-0.031801283,-0.016734583,-0.05317516,-0.059331313
